"","year","exporter","importer","product","value","quantity","description"
"181",2022,"Denmark","Cyprus","010310",0.021,0.001,"Swine: live, pure-bred breeding animals"
"182",2022,"Denmark","Cyprus","010391",9.936,0.063,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"183",2022,"Denmark","Cyprus","010392",0.363,0.05,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"184",2022,"Denmark","Czechia","010310",980.075,234.718,"Swine: live, pure-bred breeding animals"
"185",2022,"Denmark","Czechia","010391",973.575,371.455,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"186",2022,"Denmark","Czechia","010392",512.448,139.113,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"187",2022,"Denmark","Estonia","010310",16.79,0.583,"Swine: live, pure-bred breeding animals"
"188",2022,"Denmark","Estonia","010391",117.001,0.941,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"189",2022,"Denmark","Estonia","010392",8.056,1.096,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"190",2022,"Denmark","Finland","010310",129.854,11.866,"Swine: live, pure-bred breeding animals"
"191",2022,"Denmark","Finland","010391",303.97,2.285,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"192",2022,"Denmark","Finland","010392",3.251,0.933,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"193",2022,"Denmark","France","010310",945.748,426.012,"Swine: live, pure-bred breeding animals"
"194",2022,"Denmark","France","010391",928.091,78.095,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"195",2022,"Denmark","France","010392",459.416,200.699,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"196",2022,"Denmark","Germany","010310",19290.823,2099.34,"Swine: live, pure-bred breeding animals"
"197",2022,"Denmark","Germany","010391",322919.212,155086.08,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"198",2022,"Denmark","Germany","010392",19719.402,12818.308,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"199",2022,"Denmark","Greece","010310",51.234,4.819,"Swine: live, pure-bred breeding animals"
"200",2022,"Denmark","Greece","010391",328.513,77.286,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"201",2022,"Denmark","Greece","010392",85.367,24.431,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"202",2022,"Denmark","Hungary","010310",175.359,112.871,"Swine: live, pure-bred breeding animals"
