"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Netherlands","Austria",137.327034094368,10192000,1.34740025602795e-05,0.00824099483946317
"Netherlands","Belgium",1385.08387853881,10192000,0.000135899124660402,0.0831188787447211
"Netherlands","Bulgaria",10.0539211567732,10192000,9.86452232807419e-07,0.000603335773729751
"Netherlands","Croatia",614.549638660578,10192000,6.02972565404806e-05,0.0368791216834666
"Netherlands","Cyprus",3.00478234398782,10192000,2.94817733907753e-07,0.000180316978035785
"Netherlands","Czechia",31.6871756468798,10192000,3.10902429816324e-06,0.00190154730061128
"Netherlands","Denmark",51.9345838660578,10192000,5.0956224358377e-06,0.00311659419758343
"Netherlands","Estonia",5.2056797564688,10192000,5.10761357581318e-07,0.000312392824121412
"Netherlands","Finland",14.4703132420091,10192000,1.41977170741848e-06,0.000868363447439393
"Netherlands","France",52.655095585997,10192000,5.16631628591022e-06,0.00315983210339672
"Netherlands","Germany",7906.87613455099,10192000,0.000775792399386871,0.474491609396677
